Donor_smiles,HOMO_D(eV),LUMO_D(eV),Acceptor_smiles,HOMO_A(eV),LUMO_A(eV),PCE,Jsc(mA/cm2),FF,Voc(V),DOI
CC1=CC(CCCCCC)=C(C)S1,-5.00 ,-3.10 ,O=C(N(CC)/C1=C(C#N)/C#N)/C(S1)=C/C(C2=NSN=C23)=CC=C3C4=CC5=C(C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C(C9=C(C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(C%13=CC=C(/C=C(S/%14)\C(N(CC)C%14=C(C#N)\C#N)=O)C%15=NSN=C%15%13)S9)C%10=C6)S4,-5.53 ,-3.79 ,2.55,5.81,0.61,0.72,10.1021/acsami.8b10312
CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCCCC)CCCCCC)N=C75)S4)S8)C8=C2C9=CC=C(CC(CCCC)CC)S9,-5.21 ,-2.99 ,O=C(C(/C1=C(C#C)/C#C)=C\C(S2)=CC3=C2C(C4(C5=CC(CCCCCC)=CC=C5)C6=CC(CCCCCC)=CC=C6)=C(S3)C7=C4C=C(C(SC8=C9SC(/C=C(/C%10=C(C#C)/C#C)C(C%11=C%10C=CC=C%11)=O)=C8)=C9C%12(C%13=CC(CCCCCC)=CC=C%13)C%14=CC(CCCCCC)=CC=C%14)C%12=C7)C%15=C1C=CC=C%15,-5.52 ,-3.82 ,5.98,17.16,0.50,0.70,10.1002/adma.201703344
CC1=CC2=C(S1)C(C3=CC(Cl)=C(CC(CC)CCCC)C3)=C4C(SC(C5=C(CC(CCCC)CCCCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C4)=C2C%11=CC(Cl)=C(CC(CCCC)CC)S%11,-5.32 ,-3.36 ,CCCCCCC(CCCC)Cn1c2c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(-c4sccc4Cl)c3sc2c2c3nsnc3c3c4sc5c(-c6sccc6Cl)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,-5.73 ,-4.28 ,16.70,24.90,0.73,0.92,10.1021/jacs.2c13247
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,-5.23 ,-3.18 ,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=CC=C8C9=C7C3=CC=C9C(C%10=C8SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14,-5.88 ,-3.82 ,5.45,9.33,0.60,0.97,10.1002/aenm.201970096
CC1=CC(C(C2=CC=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C9C%10=CC=C(CC(CC)CCCC)S%10)=C9S1,-5.34 ,-3.44 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCC)C=C(C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C(SC(C(S7)=CC(CCCCCCCC)=C7/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)=C%10N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)=C%10S4)S3,-5.58 ,-4.06 ,8.64,18.78,0.63,0.73,10.1021/acsami.1c09597
CCC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC)SC(CC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC)S3)C3=C2SC(C)=C3)S1,-5.50 ,-3.61 ,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(-c6ccc(-c7ccc8c(c7)C(=C(C#N)C#N)/C(=C/c7cc9sc%10c(c9s7)C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7cc9c(cc7-%10)C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c-9sc9cc(/C=C%10\C(=O)c%11ccc(-c%12cccs%12)cc%11C%10=C(C#N)C#N)sc79)C8=O)s6)cc5C4=C(C#N)C#N)sc23)cc1,-5.71 ,-3.85 ,10.50,15.20,0.69,1.00,10.1039/C9TA04611A
CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,-5.36 ,-3.42 ,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,-5.48 ,-3.83 ,10.40,18.80,0.62,0.90,10.1002/solr.201700020
FC1=C(CC(CCCC)CC)SC(C2=C3C(SC(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C(C)S8)S5)S4)=C3)=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C2SC(C)=C%10)=C1,-5.48 ,-3.64 ,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(CC(CCCCCC)CCCC)=C(C4=CC(C5=CC=CC=C5)=C(C6=C(C7=CC=CC=C7)C=C(S6)C8=C(CC(CCCCCC)CCCC)C=C(S8)/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)S4)S3,-5.89 ,-3.92 ,1.57,5.53,0.30,0.94,10.1038/s41467-021-25394-w
CC(S1)=CC2=C1C(C3=CC=C(C(CCC)(CCC)CCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCCCC)CCCCCC)N=C75)S4)S8)C8=C2C9=CC=C(C(CCC)(CCC)CCC)S9,-5.40 ,-3.24 ,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14/C(C(C=CC=C%15)=C%15C%14=O)=C(C#N)\C#N)=C%13)=C%10C(OCC(CC)CCCC)=C8S7)=C(C#N)/C#N,-5.32 ,-3.85 ,10.46,17.75,0.66,0.90,10.1039/C7EE00844A
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(C4=C(CCCCCC)C(S5)=C(S4)C=C5C(S6)=C(C(C7=C(CCCCCCCC)SC(CCCCCCCC)=C7C8=O)=O)C8=C6C9=CC%10=C(C(CCCCCC)=C(C)S%10)S9)S3)=C(C%11=CC=C(CC(CC)CCCC)S%11)C%12=C2C=C(C)S%12,-5.37 ,-3.54 ,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,-5.60 ,-4.05 ,9.22,15.52,0.68,0.88,10.1021/acsami.8b16628
